# Frecuencia [Hz], Z [Ohm], Fase []
2.000000000000000000e+01,2.384340000000000000e+07,-8.474869999999999948e+01
2.037209999999999965e+01,2.144780000000000000e+07,-8.699460000000000548e+01
2.075120000000000076e+01,1.961830000000000000e+07,-7.076619999999999777e+01
2.114020000000000010e+01,1.747180000000000000e+07,-7.687069999999999936e+01
2.153320000000000078e+01,1.951880000000000000e+07,-7.760380000000000678e+01
2.193299999999999983e+01,1.763490000000000000e+07,-9.737080000000000268e+01
2.234140000000000015e+01,1.509540000000000000e+07,-8.068420000000000414e+01
2.275829999999999842e+01,1.811880000000000000e+07,-8.194079999999999586e+01
2.318029999999999902e+01,2.167830000000000000e+07,-8.932859999999999445e+01
2.361280000000000001e+01,1.617730000000000000e+07,-7.733759999999999479e+01
2.405000000000000071e+01,1.463170000000000000e+07,-8.758780000000000143e+01
2.449980000000000047e+01,1.652080000000000000e+07,-7.655100000000000193e+01
2.495429999999999993e+01,1.704640000000000000e+07,-8.442780000000000484e+01
2.541939999999999955e+01,1.401470000000000000e+07,-9.021089999999999520e+01
2.589110000000000156e+01,1.211490000000000000e+07,-6.887789999999999679e+01
2.637590000000000146e+01,1.680850000000000000e+07,-9.100320000000000675e+01
2.686730000000000018e+01,1.256540000000000000e+07,-7.938830000000000098e+01
2.736730000000000018e+01,1.245160000000000000e+07,-8.123680000000000234e+01
2.787330000000000041e+01,1.283120000000000000e+07,-7.742839999999999634e+01
2.839560000000000173e+01,1.159850000000000000e+07,-7.610590000000000543e+01
2.892119999999999891e+01,1.762210000000000000e+07,-8.440269999999999584e+01
2.946379999999999910e+01,1.269350000000000000e+07,-8.364249999999999829e+01
3.000600000000000023e+01,1.264580000000000000e+07,-7.900719999999999743e+01
3.056859999999999999e+01,1.129340000000000000e+07,-7.513110000000000355e+01
3.113329999999999842e+01,1.307690000000000000e+07,-8.614929999999999666e+01
3.171249999999999858e+01,1.025500000000000000e+07,-6.996519999999999584e+01
3.230319999999999681e+01,1.164290000000000000e+07,-6.813160000000000593e+01
3.290919999999999845e+01,9.653480000000000000e+06,-7.436939999999999884e+01
3.352329999999999899e+01,8.758370000000000000e+06,-7.618680000000000518e+01
3.414130000000000109e+01,1.100390000000000000e+07,-7.135039999999999338e+01
3.478260000000000218e+01,1.187050000000000000e+07,-7.638190000000000168e+01
3.542329999999999757e+01,8.745900000000000000e+06,-7.333880000000000621e+01
3.608809999999999718e+01,1.129430000000000000e+07,-6.660450000000000159e+01
3.676019999999999754e+01,8.268260000000000000e+06,-6.816289999999999338e+01
3.743919999999999959e+01,1.023220000000000000e+07,-6.878189999999999316e+01
3.814370000000000260e+01,1.007510000000000000e+07,-7.691689999999999827e+01
3.884499999999999886e+01,1.001730000000000000e+07,-5.892969999999999686e+01
3.956739999999999924e+01,8.675290000000000000e+06,-6.775900000000000034e+01
4.030630000000000024e+01,8.255340000000000000e+06,-6.527320000000000277e+01
4.105649999999999977e+01,1.226930000000000000e+07,-7.791570000000000107e+01
4.182350000000000279e+01,9.167880000000000000e+06,-7.580540000000000589e+01
4.260150000000000148e+01,9.006870000000000000e+06,-7.995659999999999457e+01
4.339020000000000010e+01,8.612710000000000000e+06,-7.639149999999999352e+01
4.420219999999999771e+01,8.627580000000000000e+06,-7.652800000000000580e+01
4.501800000000000068e+01,7.828090000000000000e+06,-8.626640000000000441e+01
4.586449999999999960e+01,8.583410000000000000e+06,-9.088379999999999370e+01
4.671439999999999770e+01,7.749230000000000000e+06,-7.592270000000000607e+01
4.758129999999999882e+01,7.703800000000000000e+06,-8.798180000000000689e+01
4.846529999999999916e+01,7.564380000000000000e+06,-9.117510000000000048e+01
4.936650000000000205e+01,8.410740000000000000e+06,-1.016159999999999997e+02
5.029339999999999833e+01,8.485010000000000000e+06,-9.209390000000000498e+01
5.122950000000000159e+01,7.944850000000000000e+06,-8.891939999999999600e+01
5.218299999999999983e+01,6.735010000000000000e+06,-8.969450000000000500e+01
5.314439999999999742e+01,6.148670000000000000e+06,-9.295539999999999736e+01
5.415160000000000196e+01,6.188290000000000000e+06,-9.246179999999999666e+01
5.514710000000000178e+01,5.541640000000000000e+06,-8.928340000000000032e+01
5.616929999999999978e+01,5.473290000000000000e+06,-8.594620000000000459e+01
5.721920000000000073e+01,6.152620000000000000e+06,-8.463230000000000075e+01
5.828640000000000043e+01,5.520170000000000000e+06,-8.331430000000000291e+01
5.938239999999999696e+01,5.726760000000000000e+06,-8.354309999999999548e+01
6.048389999999999844e+01,5.448930000000000000e+06,-8.873130000000000450e+01
6.161430000000000007e+01,5.510540000000000000e+06,-8.091289999999999338e+01
6.274839999999999662e+01,5.630220000000000000e+06,-7.895539999999999736e+01
6.391140000000000043e+01,5.393690000000000000e+06,-8.820850000000000080e+01
6.510420000000000584e+01,6.101910000000000000e+06,-9.317870000000000630e+01
6.632769999999999300e+01,5.418090000000000000e+06,-8.393609999999999616e+01
6.755240000000000578e+01,5.797780000000000000e+06,-7.457859999999999445e+01
6.880729999999999791e+01,5.065130000000000000e+06,-8.247320000000000562e+01
7.007710000000000150e+01,6.119910000000000000e+06,-9.216459999999999297e+01
7.141160000000000707e+01,5.357340000000000000e+06,-8.509950000000000614e+01
7.272729999999999961e+01,5.406870000000000000e+06,-8.071150000000000091e+01
7.407410000000000139e+01,5.451350000000000000e+06,-8.891830000000000211e+01
7.547169999999999845e+01,5.860800000000000000e+06,-8.199590000000000600e+01
7.688370000000000459e+01,5.115980000000000000e+06,-9.036039999999999850e+01
7.828810000000000002e+01,5.088460000000000000e+06,-8.812749999999999773e+01
7.976600000000000534e+01,5.048530000000000000e+06,-8.216610000000000014e+01
8.125679999999999836e+01,4.367740000000000000e+06,-8.708969999999999345e+01
8.275860000000000127e+01,4.901430000000000000e+06,-9.006629999999999825e+01
8.429330000000000211e+01,5.095440000000000000e+06,-8.544769999999999754e+01
8.586150000000000659e+01,4.437870000000000000e+06,-9.087380000000000280e+01
8.743810000000000571e+01,4.525290000000000000e+06,-8.511090000000000089e+01
8.910009999999999764e+01,4.449540000000000000e+06,-8.924559999999999604e+01
9.074410000000000309e+01,3.979320000000000000e+06,-8.811310000000000286e+01
9.242140000000000555e+01,3.955380000000000000e+06,-9.008289999999999509e+01
9.413240000000000407e+01,3.978850000000000000e+06,-9.023940000000000339e+01
9.587730000000000530e+01,3.785420000000000000e+06,-9.213490000000000180e+01
9.768800000000000239e+01,3.576860000000000000e+06,-8.976409999999999911e+01
9.950249999999999773e+01,3.354980000000000000e+06,-8.962699999999999534e+01
1.013509999999999991e+02,3.266650000000000000e+06,-8.474790000000000134e+01
1.032699999999999960e+02,3.494270000000000000e+06,-8.917350000000000421e+01
1.051520000000000010e+02,3.054560000000000000e+06,-8.102299999999999613e+01
1.071430000000000007e+02,3.356480000000000000e+06,-8.520860000000000412e+01
1.091310000000000002e+02,3.269600000000000000e+06,-8.797410000000000707e+01
1.111520000000000010e+02,3.033600000000000000e+06,-8.018449999999999989e+01
1.132500000000000000e+02,3.386410000000000000e+06,-8.425239999999999441e+01
1.153400000000000034e+02,2.995420000000000000e+06,-8.511379999999999768e+01
1.175090000000000003e+02,2.947130000000000000e+06,-8.441240000000000521e+01
1.197129999999999939e+02,2.810680000000000000e+06,-7.843770000000000664e+01
1.218520000000000039e+02,2.862820000000000000e+06,-8.059369999999999834e+01
1.241719999999999970e+02,2.895820000000000000e+06,-8.063030000000000541e+01
1.265289999999999964e+02,2.742110000000000000e+06,-8.032129999999999370e+01
1.288660000000000139e+02,2.841120000000000000e+06,-8.267119999999999891e+01
1.311759999999999877e+02,2.512550000000000000e+06,-7.702020000000000266e+01
1.336299999999999955e+02,2.878040000000000000e+06,-8.233520000000000039e+01
1.361160000000000139e+02,2.690930000000000000e+06,-7.765510000000000446e+01
1.386959999999999980e+02,2.588270000000000000e+06,-8.104770000000000607e+01
1.413089999999999975e+02,2.667720000000000000e+06,-7.988309999999999889e+01
1.439540000000000077e+02,2.627300000000000000e+06,-8.195520000000000493e+01
1.466279999999999859e+02,2.596610000000000000e+06,-7.795520000000000493e+01
1.493280000000000030e+02,2.723500000000000000e+06,-7.567430000000000234e+01
1.521299999999999955e+02,2.798780000000000000e+06,-8.075310000000000343e+01
1.549590000000000032e+02,2.612200000000000000e+06,-8.100749999999999318e+01
1.578950000000000102e+02,2.551490000000000000e+06,-7.831789999999999452e+01
1.607719999999999914e+02,2.440980000000000000e+06,-8.248359999999999559e+01
1.636659999999999968e+02,2.452550000000000000e+06,-8.188349999999999795e+01
1.667589999999999861e+02,2.342450000000000000e+06,-8.391500000000000625e+01
1.698750000000000000e+02,2.372580000000000000e+06,-8.407500000000000284e+01
1.730099999999999909e+02,2.259440000000000000e+06,-8.095680000000000121e+01
1.762630000000000052e+02,2.295820000000000000e+06,-8.412930000000000064e+01
1.795329999999999870e+02,2.221960000000000000e+06,-8.510960000000000036e+01
1.828149999999999977e+02,2.352520000000000000e+06,-8.563129999999999598e+01
1.863350000000000080e+02,2.170050000000000000e+06,-8.254110000000000014e+01
1.897529999999999859e+02,2.077580000000000000e+06,-7.721739999999999782e+01
1.934240000000000066e+02,2.035720000000000000e+06,-8.349110000000000298e+01
1.968499999999999943e+02,2.199750000000000000e+06,-8.448250000000000171e+01
2.006690000000000111e+02,2.004330000000000000e+06,-8.402519999999999811e+01
2.043600000000000136e+02,2.075770000000000000e+06,-8.155150000000000432e+01
2.080440000000000111e+02,1.973720000000000000e+06,-8.061379999999999768e+01
2.118640000000000043e+02,1.912390000000000000e+06,-8.232099999999999795e+01
2.158269999999999982e+02,1.901890000000000000e+06,-8.376349999999999341e+01
2.199410000000000025e+02,1.886580000000000000e+06,-8.230419999999999447e+01
2.242150000000000034e+02,1.791900000000000000e+06,-8.246599999999999397e+01
2.283110000000000070e+02,1.764410000000000000e+06,-8.301630000000000109e+01
2.323779999999999859e+02,1.709390000000000000e+06,-8.287909999999999400e+01
2.369670000000000130e+02,1.738250000000000000e+06,-8.123659999999999570e+01
2.413520000000000039e+02,1.625200000000000000e+06,-7.946299999999999386e+01
2.456999999999999886e+02,1.634890000000000000e+06,-8.231640000000000157e+01
2.504170000000000016e+02,1.646960000000000000e+06,-8.159099999999999397e+01
2.548849999999999909e+02,1.626440000000000000e+06,-8.346569999999999823e+01
2.597400000000000091e+02,1.591520000000000000e+06,-8.180500000000000682e+01
2.645500000000000114e+02,1.595620000000000000e+06,-8.435229999999999961e+01
2.695419999999999732e+02,1.547900000000000000e+06,-8.328560000000000230e+01
2.747250000000000227e+02,1.506260000000000000e+06,-8.288009999999999877e+01
2.798509999999999991e+02,1.504260000000000000e+06,-8.408520000000000039e+01
2.848999999999999773e+02,1.512960000000000000e+06,-8.277370000000000516e+01
2.901349999999999909e+02,1.441370000000000000e+06,-8.369950000000000045e+01
2.955659999999999741e+02,1.469650000000000000e+06,-8.575360000000000582e+01
3.012049999999999841e+02,1.394480000000000000e+06,-8.479389999999999361e+01
3.064350000000000023e+02,1.401490000000000000e+06,-8.491299999999999670e+01
3.125000000000000000e+02,1.355070000000000000e+06,-8.556419999999999959e+01
3.184710000000000036e+02,1.379570000000000000e+06,-8.578539999999999566e+01
3.239739999999999895e+02,1.331610000000000000e+06,-8.616219999999999857e+01
3.300330000000000155e+02,1.305810000000000000e+06,-8.609050000000000580e+01
3.359460000000000264e+02,1.269820000000000000e+06,-8.490160000000000196e+01
3.428570000000000277e+02,1.223110000000000000e+06,-8.596399999999999864e+01
3.488369999999999891e+02,1.228260000000000000e+06,-8.642749999999999488e+01
3.554499999999999886e+02,1.207180000000000000e+06,-8.632769999999999300e+01
3.623190000000000168e+02,1.184060000000000000e+06,-8.594469999999999743e+01
3.685500000000000114e+02,1.141720000000000000e+06,-8.559510000000000218e+01
3.754689999999999941e+02,1.116930000000000000e+06,-8.654829999999999757e+01
3.826530000000000200e+02,1.093080000000000000e+06,-8.717570000000000618e+01
3.896100000000000136e+02,1.040640000000000000e+06,-8.571139999999999759e+01
3.968249999999999886e+02,1.063020000000000000e+06,-8.562269999999999470e+01
4.048580000000000041e+02,1.038090000000000000e+06,-8.672480000000000189e+01
4.120880000000000223e+02,1.023610000000000000e+06,-8.538020000000000209e+01
4.195799999999999841e+02,1.005370000000000000e+06,-8.543779999999999575e+01
4.273500000000000227e+02,1.001400000000000000e+06,-8.542749999999999488e+01
4.360470000000000255e+02,9.745860000000000000e+05,-8.702400000000000091e+01
4.431309999999999718e+02,9.668580000000000000e+05,-8.737680000000000291e+01
4.518070000000000164e+02,9.485690000000000000e+05,-8.686459999999999582e+01
4.608290000000000077e+02,9.252710000000000000e+05,-8.684590000000000032e+01
4.687500000000000000e+02,8.944550000000000000e+05,-8.729000000000000625e+01
4.777069999999999936e+02,9.099920000000000000e+05,-8.708259999999999934e+01
4.870129999999999768e+02,8.793460000000000000e+05,-8.606000000000000227e+01
4.950489999999999782e+02,8.805330000000000000e+05,-8.746320000000000050e+01
5.050509999999999877e+02,8.438080000000000000e+05,-8.664939999999999998e+01
5.145800000000000409e+02,8.409690000000000000e+05,-8.611379999999999768e+01
5.235599999999999454e+02,8.359580000000000000e+05,-8.706589999999999918e+01
5.338079999999999927e+02,8.191390000000000000e+05,-8.694499999999999318e+01
5.434779999999999518e+02,7.971080000000000000e+05,-8.640109999999999957e+01
5.545289999999999964e+02,7.744250000000000000e+05,-8.691920000000000357e+01
5.649719999999999800e+02,7.623060000000000000e+05,-8.619480000000000075e+01
5.747129999999999654e+02,7.543910000000000000e+05,-8.696729999999999450e+01
5.847949999999999591e+02,7.320790000000000000e+05,-8.735569999999999879e+01
5.952380000000000564e+02,7.222450000000000000e+05,-8.658589999999999520e+01
6.072870000000000346e+02,7.172830000000000000e+05,-8.711799999999999500e+01
6.198350000000000364e+02,6.887190000000000000e+05,-8.718840000000000146e+01
6.302519999999999527e+02,6.814790000000000000e+05,-8.696790000000000020e+01
6.423980000000000246e+02,6.834420000000000000e+05,-8.736920000000000641e+01
6.550220000000000482e+02,6.664560000000000000e+05,-8.658669999999999334e+01
6.651879999999999882e+02,6.471980000000000000e+05,-8.670310000000000628e+01
6.787329999999999472e+02,6.371110000000000000e+05,-8.643919999999999959e+01
6.896549999999999727e+02,6.250310000000000000e+05,-8.722180000000000177e+01
7.025760000000000218e+02,6.101860000000000000e+05,-8.651900000000000546e+01
7.159900000000000091e+02,6.123360000000000000e+05,-8.609010000000000673e+01
7.299270000000000209e+02,5.962260000000000000e+05,-8.646500000000000341e+01
7.425739999999999554e+02,5.890440000000000000e+05,-8.707859999999999445e+01
7.594940000000000282e+02,5.791500000000000000e+05,-8.624760000000000559e+01
7.712079999999999700e+02,5.596790000000000000e+05,-8.622249999999999659e+01
7.853400000000000318e+02,5.588480000000000000e+05,-8.644299999999999784e+01
8.000000000000000000e+02,5.417060000000000000e+05,-8.630780000000000030e+01
8.152169999999999845e+02,5.343430000000000000e+05,-8.612390000000000612e+01
8.333329999999999700e+02,5.248110000000000000e+05,-8.586969999999999459e+01
8.450700000000000500e+02,5.190530000000000000e+05,-8.647419999999999618e+01
8.620689999999999600e+02,5.086160000000000000e+05,-8.663020000000000209e+01
8.771929999999999836e+02,4.976150000000000000e+05,-8.659929999999999950e+01
8.928569999999999709e+02,4.932180000000000000e+05,-8.666490000000000293e+01
9.118540000000000418e+02,4.805440000000000000e+05,-8.632569999999999766e+01
9.316770000000000209e+02,4.698530000000000000e+05,-8.625620000000000687e+01
9.463719999999999573e+02,4.655920000000000000e+05,-8.642740000000000578e+01
9.615380000000000109e+02,4.574430000000000000e+05,-8.653810000000000002e+01
9.803920000000000528e+02,4.474690000000000000e+05,-8.627889999999999304e+01
1.000000000000000000e+03,4.416070000000000000e+05,-8.684550000000000125e+01
1.020409999999999968e+03,4.328720000000000000e+05,-8.629489999999999839e+01
1.038059999999999945e+03,4.204060000000000000e+05,-8.646630000000000393e+01
1.060069999999999936e+03,4.187180000000000000e+05,-8.631369999999999720e+01
1.079140000000000100e+03,4.104070000000000000e+05,-8.670499999999999829e+01
1.094890000000000100e+03,4.062220000000000000e+05,-8.634929999999999950e+01
1.115240000000000009e+03,3.966850000000000000e+05,-8.678509999999999991e+01
1.136359999999999900e+03,3.901920000000000000e+05,-8.683110000000000639e+01
1.158299999999999955e+03,3.811450000000000000e+05,-8.681080000000000041e+01
1.181099999999999909e+03,3.724980000000000000e+05,-8.665210000000000434e+01
1.200000000000000000e+03,3.679510000000000000e+05,-8.670250000000000057e+01
1.229509999999999991e+03,3.613050000000000000e+05,-8.687149999999999750e+01
1.244809999999999945e+03,3.551100000000000000e+05,-8.657880000000000109e+01
1.276599999999999909e+03,3.478520000000000000e+05,-8.675220000000000198e+01
1.293099999999999909e+03,3.436820000000000000e+05,-8.691200000000000614e+01
1.321589999999999918e+03,3.341370000000000000e+05,-8.673269999999999413e+01
1.345289999999999964e+03,3.301710000000000000e+05,-8.651659999999999684e+01
1.369859999999999900e+03,3.244430000000000000e+05,-8.658369999999999322e+01
1.401869999999999891e+03,3.187400000000000000e+05,-8.694469999999999743e+01
1.421799999999999955e+03,3.107510000000000000e+05,-8.672589999999999577e+01
1.449279999999999973e+03,3.060590000000000000e+05,-8.712080000000000268e+01
1.477829999999999927e+03,3.011660000000000000e+05,-8.661119999999999663e+01
1.500000000000000000e+03,2.972760000000000000e+05,-8.659550000000000125e+01
1.530609999999999900e+03,2.912640000000000000e+05,-8.697119999999999607e+01
1.554400000000000091e+03,2.882710000000000000e+05,-8.690569999999999595e+01
1.587299999999999955e+03,2.814090000000000000e+05,-8.679290000000000305e+01
1.612900000000000091e+03,2.765020000000000000e+05,-8.704819999999999425e+01
1.648349999999999909e+03,2.725210000000000000e+05,-8.674580000000000268e+01
1.685390000000000100e+03,2.652830000000000000e+05,-8.679710000000000036e+01
1.714289999999999964e+03,2.607210000000000000e+05,-8.679600000000000648e+01
1.734099999999999909e+03,2.585140000000000000e+05,-8.641759999999999309e+01
1.785710000000000036e+03,2.508290000000000000e+05,-8.667849999999999966e+01
1.818180000000000064e+03,2.468530000000000000e+05,-8.677519999999999811e+01
1.840490000000000009e+03,2.441020000000000000e+05,-8.679319999999999879e+01
1.875000000000000000e+03,2.390220000000000000e+05,-8.676170000000000471e+01
1.923079999999999927e+03,2.335210000000000000e+05,-8.683929999999999438e+01
1.948049999999999955e+03,2.314370000000000000e+05,-8.683849999999999625e+01
1.973680000000000064e+03,2.279640000000000000e+05,-8.688530000000000086e+01
2.013420000000000073e+03,2.241520000000000000e+05,-8.683389999999999986e+01
2.054789999999999964e+03,2.185490000000000000e+05,-8.696769999999999357e+01
2.097900000000000091e+03,2.152040000000000000e+05,-8.684050000000000580e+01
2.142860000000000127e+03,2.106390000000000000e+05,-8.673659999999999570e+01
2.173909999999999854e+03,2.074430000000000000e+05,-8.701149999999999807e+01
2.205880000000000109e+03,2.050020000000000000e+05,-8.678610000000000468e+01
2.272730000000000018e+03,1.997630000000000000e+05,-8.677190000000000225e+01
2.307690000000000055e+03,1.956010000000000000e+05,-8.695680000000000121e+01
2.343750000000000000e+03,1.934260000000000000e+05,-8.692000000000000171e+01
2.380949999999999818e+03,1.903690000000000000e+05,-8.693880000000000052e+01
2.419349999999999909e+03,1.870750000000000000e+05,-8.689570000000000505e+01
2.500000000000000000e+03,1.816570000000000000e+05,-8.706740000000000634e+01
2.542369999999999891e+03,1.785740000000000000e+05,-8.708849999999999625e+01
2.564099999999999909e+03,1.769100000000000000e+05,-8.709629999999999939e+01
2.631579999999999927e+03,1.725960000000000000e+05,-8.686620000000000630e+01
2.678570000000000164e+03,1.690190000000000000e+05,-8.698839999999999861e+01
2.702699999999999818e+03,1.681090000000000000e+05,-8.695510000000000161e+01
2.752289999999999964e+03,1.649400000000000000e+05,-8.695040000000000191e+01
2.830190000000000055e+03,1.608300000000000000e+05,-8.686990000000000123e+01
2.857139999999999873e+03,1.593180000000000000e+05,-8.693399999999999750e+01
2.912619999999999891e+03,1.567260000000000000e+05,-8.694650000000000034e+01
3.000000000000000000e+03,1.516640000000000000e+05,-8.708780000000000143e+01
3.030300000000000182e+03,1.501190000000000000e+05,-8.685039999999999338e+01
3.092780000000000200e+03,1.469170000000000000e+05,-8.686209999999999809e+01
3.157889999999999873e+03,1.446450000000000000e+05,-8.685160000000000480e+01
3.260869999999999891e+03,1.398680000000000000e+05,-8.680819999999999936e+01
3.296699999999999818e+03,1.382190000000000000e+05,-8.675029999999999575e+01
3.409090000000000146e+03,1.337680000000000000e+05,-8.678249999999999886e+01
3.488369999999999891e+03,1.312420000000000000e+05,-8.678570000000000562e+01
3.529409999999999854e+03,1.295670000000000000e+05,-8.675830000000000553e+01
3.658539999999999964e+03,1.251410000000000000e+05,-8.677190000000000225e+01
3.703699999999999818e+03,1.238600000000000000e+05,-8.690200000000000102e+01
3.846150000000000091e+03,1.192990000000000000e+05,-8.684929999999999950e+01
3.896099999999999909e+03,1.173840000000000000e+05,-8.679430000000000689e+01
4.000000000000000000e+03,1.147610000000000000e+05,-8.679030000000000200e+01
4.166670000000000073e+03,1.103240000000000000e+05,-8.682330000000000325e+01
4.225350000000000364e+03,1.089620000000000000e+05,-8.679829999999999757e+01
4.411760000000000218e+03,1.039770000000000000e+05,-8.673180000000000689e+01
4.477609999999999673e+03,1.029420000000000000e+05,-8.685110000000000241e+01
4.615380000000000109e+03,9.985239999999999418e+04,-8.680450000000000443e+01
4.761899999999999636e+03,9.680630000000000291e+04,-8.683790000000000475e+01
4.918029999999999745e+03,9.384069999999999709e+04,-8.667050000000000409e+01
5.172409999999999854e+03,8.943580000000000291e+04,-8.667990000000000350e+01
5.357140000000000327e+03,8.626250000000000000e+04,-8.664619999999999322e+01
5.555560000000000400e+03,8.325969999999999709e+04,-8.677309999999999945e+01
5.769229999999999563e+03,8.023080000000000291e+04,-8.669060000000000343e+01
5.882350000000000364e+03,7.885660000000000582e+04,-8.664000000000000057e+01
6.250000000000000000e+03,7.434030000000000291e+04,-8.670159999999999911e+01
6.521739999999999782e+03,7.136669999999999709e+04,-8.658079999999999643e+01
6.818180000000000291e+03,6.824919999999999709e+04,-8.656719999999999970e+01
6.976739999999999782e+03,6.677989999999999418e+04,-8.656759999999999877e+01
7.317069999999999709e+03,6.383059999999999854e+04,-8.652110000000000412e+01
7.894739999999999782e+03,5.912419999999999709e+04,-8.652710000000000434e+01
8.333329999999999927e+03,5.614359999999999854e+04,-8.653879999999999484e+01
8.823530000000000655e+03,5.313490000000000146e+04,-8.638009999999999877e+01
9.375000000000000000e+03,5.003430000000000291e+04,-8.633259999999999934e+01
1.000000000000000000e+04,4.700709999999999854e+04,-8.625780000000000314e+01
1.034479999999999927e+04,4.549419999999999709e+04,-8.620480000000000587e+01
1.111110000000000036e+04,4.241959999999999854e+04,-8.612090000000000600e+01
1.200000000000000000e+04,3.933690000000000146e+04,-8.599599999999999511e+01
1.363639999999999964e+04,3.475290000000000146e+04,-8.578870000000000573e+01
1.428570000000000073e+04,3.318930000000000291e+04,-8.570839999999999748e+01
1.666670000000000073e+04,2.854879999999999927e+04,-8.538710000000000377e+01
1.875000000000000000e+04,2.546550000000000000e+04,-8.509999999999999432e+01
2.000000000000000000e+04,2.390940000000000146e+04,-8.492230000000000700e+01
2.307690000000000146e+04,2.079020000000000073e+04,-8.447549999999999670e+01
2.727270000000000073e+04,1.767320000000000073e+04,-8.390349999999999397e+01
2.857140000000000146e+04,1.689909999999999854e+04,-8.370720000000000027e+01
3.157890000000000146e+04,1.532879999999999927e+04,-8.329689999999999372e+01
3.529409999999999854e+04,1.376289999999999964e+04,-8.275839999999999463e+01
4.000000000000000000e+04,1.219300000000000000e+04,-8.207580000000000098e+01
4.615380000000000291e+04,1.062210000000000036e+04,-8.115040000000000475e+01
5.217390000000000146e+04,9.444069999999999709e+03,-8.032689999999999486e+01
6.000000000000000000e+04,8.265850000000000364e+03,-7.918909999999999627e+01
6.666669999999999709e+04,7.478640000000000327e+03,-7.824190000000000111e+01
7.058819999999999709e+04,7.085640000000000327e+03,-7.770730000000000359e+01
8.000000000000000000e+04,6.302220000000000255e+03,-7.637860000000000582e+01
1.000000000000000000e+05,5.130880000000000109e+03,-7.364390000000000214e+01
1.090910000000000000e+05,4.742109999999999673e+03,-7.244060000000000343e+01
1.200000000000000000e+05,4.356859999999999673e+03,-7.101730000000000587e+01
1.333330000000000000e+05,3.974519999999999982e+03,-6.929609999999999559e+01
1.411760000000000000e+05,3.784300000000000182e+03,-6.829739999999999611e+01
1.600000000000000000e+05,3.406469999999999800e+03,-6.600929999999999609e+01
1.846150000000000000e+05,3.036500000000000000e+03,-6.312579999999999814e+01
